"parent","command","UIC","echelon"
NA,"CHIEF OF NAVAL OPERATIONS","00011",1
"CHIEF OF NAVAL OPERATIONS","CONSTITUTION (U.S. SHIP OF STATE) (REPORTS TO CNO THROUGH THE DIRECTOR, NAVY STAFF)","01024",2
"CHIEF OF NAVAL OPERATIONS","COMMANDER, U.S. NAVAL FORCES EUROPE, COMMANDER, U.S. NAVAL FORCES AFRICA (COMUSNAVEUR, COMUSNAVAF)","00061",2
"COMMANDER, U.S. NAVAL FORCES EUROPE, COMMANDER, U.S. NAVAL FORCES AFRICA (COMUSNAVEUR, COMUSNAVAF)","COMMANDER, U.S. SIXTH FLEET","3818A",3
"COMMANDER, U.S. SIXTH FLEET","COMMANDER, TASK FORCE (CTF) 67","30191",4
"COMMANDER, TASK FORCE (CTF) 67","TOC SIGONELLA","55354",5
"COMMANDER, U.S. SIXTH FLEET","CTF 68","40366",4
"COMMANDER, U.S. SIXTH FLEET","CTF 69","58744",4
"COMMANDER, U.S. SIXTH FLEET","CTF 63","40365",4
"COMMANDER, U.S. SIXTH FLEET","CTF 64","3245B",4
"COMMANDER, U.S. SIXTH FLEET","CTF 65 (Dual hat with CDS 60 under CFFC)","3479B",4
"CHIEF OF NAVAL OPERATIONS","OPERATIONAL TEST AND EVALUATION FORCE","57023",2
"CHIEF OF NAVAL OPERATIONS","NAVY RESERVE FORCE","00072",2
"NAVY RESERVE FORCE","NAVY AIR FORCE RESERVE","00071",3
"NAVY AIR FORCE RESERVE","MARITIME SUPPORT WING","00082",4
"MARITIME SUPPORT WING","PATROL SQUADRON (VP) 62","09162",5
"MARITIME SUPPORT WING","VP 69","09989",5
"MARITIME SUPPORT WING","HELICOPTER SEA COMBAT SQUADRON (HSC) 85(09061)","09061",5
"MARITIME SUPPORT WING","HELICOPTER MARITIME STRIKE SQUADRON (HSM) 60","3218A",5
"NAVY AIR FORCE RESERVE","FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","53831",4
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","FLEET LOGISTICS SUPPORT SQUADRON (VR) 1","42884",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 51","39501",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 53","55617",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 54","52895",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 55","53855",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 56","53856",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 57","53910",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 58","53911",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 59","53921",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 61","08988",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 62","09324",5
"FLEET LOGISTICS SUPPORT WING (FLTLOGSUPPWING)","VR 64","09172",5
"NAVY AIR FORCE RESERVE","TACTICAL SUPPORT WING","09393",4
"TACTICAL SUPPORT WING","STRIKE FIGHTER SQUADRON (VFA) 204","09032",5
"TACTICAL SUPPORT WING","ELECTRONIC ATTACK SQUADRON (VAQ) 209","53870",5
"TACTICAL SUPPORT WING","FIGHTER SQUADRON COMPOSITE(VFC) 111","52923",5
"TACTICAL SUPPORT WING","VFC 13","52995",5
"TACTICAL SUPPORT WING","VFC 12","52994",5
"NAVY RESERVE FORCE","NAVY RESERVE FORCES COMMAND","3447B",3
"CHIEF OF NAVAL OPERATIONS","COMMANDER U.S. NAVAL FORCES CENTRAL COMMAND (COMUSNAVCENT)","57007",2
"COMMANDER U.S. NAVAL FORCES CENTRAL COMMAND (COMUSNAVCENT)","COMMANDER, U.S. FIFTH FLEET","57045",3
"COMMANDER, U.S. FIFTH FLEET","COMDESRON 50","45193",4
"COMMANDER, U.S. FIFTH FLEET","COMLOGFORNAVCENT","09346",4
"COMMANDER, U.S. FIFTH FLEET","PATROL AND RECONNAISSANCE WING 57/CTF 57","44468",4
"CHIEF OF NAVAL OPERATIONS","COMMANDER, U.S. NAVAL FORCES SOUTHERN COMMAND (COMNAVSO)","57061",2
"COMMANDER, U.S. NAVAL FORCES SOUTHERN COMMAND (COMNAVSO)","COMDESRON 40","52811",3
"COMMANDER, U.S. NAVAL FORCES SOUTHERN COMMAND (COMNAVSO)","COMMANDER, U.S. FOURTH FLEET","64041",3
"CHIEF OF NAVAL OPERATIONS","COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","00074",2
"COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","COMNAVSPECWAR DEVELOPMENT GROUP DAM NECK","47898",3
"COMNAVSPECWAR DEVELOPMENT GROUP DAM NECK","NAVAL SPECIAL WARFARE TACTICAL DEVELOPMENT AND EVALUATION SQUADRON ONE","40458",4
"COMNAVSPECWAR DEVELOPMENT GROUP DAM NECK","NAVAL SPECIAL WARFARE TACTICAL DEVELOPMENT AND EVALUATION SQUADRON TWO","40459",4
"COMNAVSPECWAR DEVELOPMENT GROUP DAM NECK","NAVAL SPECIAL WARFARE TACTICAL DEVELOPMENT AND EVALUATION SQUADRON THREE","40460",4
"COMNAVSPECWAR DEVELOPMENT GROUP DAM NECK","NAVAL SPECIAL WARFARE TACTICAL DEVELOPMENT AND EVALUATION SQUADRON FOUR","40461",4
"COMNAVSPECWAR DEVELOPMENT GROUP DAM NECK","NAVAL SPECIAL WARFARE TACTICAL DEVELOPMENT AND EVALUATION SQUADRON FIVE","40298",4
"COMNAVSPECWAR DEVELOPMENT GROUP DAM NECK","EXPLOSIVE ORDNANCE DISPOSAL TACTICAL DEVELOPMENT AND EVALUATION SQUADRON","72301",4
"COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","NAVAL SPECIAL WARFARE GROUP (NAVSPECWARGRU) ONE","57100",3
"NAVAL SPECIAL WARFARE GROUP (NAVSPECWARGRU) ONE","SEAL TEAM ONE","55777",4
"NAVAL SPECIAL WARFARE GROUP (NAVSPECWARGRU) ONE","SEAL TEAM THREE","44884",4
"NAVAL SPECIAL WARFARE GROUP (NAVSPECWARGRU) ONE","SEAL TEAM FIVE","08971",4
"NAVAL SPECIAL WARFARE GROUP (NAVSPECWARGRU) ONE","SEAL TEAM SEVEN","39591",4
"NAVAL SPECIAL WARFARE GROUP (NAVSPECWARGRU) ONE","NAVAL SPECIAL WARFARE UNIT (NAVSPECWARUNIT)THREE DISEST EFF 7-31-2021)","39966",4
"NAVAL SPECIAL WARFARE GROUP (NAVSPECWARGRU) ONE","NAVSPECWARGRU ONE LOGISTICS AND SUPPORT UNIT (LOGSUPPU)","39585",4
"COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","NAVAL SPECIAL WARFARE GROUP THREE","55446",3
"NAVAL SPECIAL WARFARE GROUP THREE","NAVSPECWARGRU THREE LOGSUPPU","55457",4
"NAVAL SPECIAL WARFARE GROUP THREE","SEAL DELIVERY VEHICLE (SDV) TEAM ONE","08973",4
"NAVAL SPECIAL WARFARE GROUP THREE","SDV TEAM TWO","08842",4
"COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","NAVAL SPECIAL WARFARE GROUP TWO","0031A",3
"NAVAL SPECIAL WARFARE GROUP TWO","SEAL TEAM TWO","55778",4
"NAVAL SPECIAL WARFARE GROUP TWO","SEAL TEAM FOUR","08943",4
"NAVAL SPECIAL WARFARE GROUP TWO","SEAL TEAM SIX","53999",4
"NAVAL SPECIAL WARFARE GROUP TWO","SEAL TEAM EIGHT","46985",4
"NAVAL SPECIAL WARFARE GROUP TWO","SEAL TEAM TEN","39592",4
"NAVAL SPECIAL WARFARE GROUP TWO","NAVSPECWARGRU TWO LOGSUPPU","39587",4
"COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","NAVAL SPECIAL WARFARE GROUP FOUR","52738",3
"NAVAL SPECIAL WARFARE GROUP FOUR","SPECIAL BOAT (SPECBOAT) TEAM TWELVE","42221",4
"NAVAL SPECIAL WARFARE GROUP FOUR","SPECBOAT TEAM TWENTY","44392",4
"NAVAL SPECIAL WARFARE GROUP FOUR","SPECBOAT TEAM TWENTY TWO","32219",4
"COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","NAVSPECWARGRU TEN","58063",3
"NAVSPECWARGRU TEN","SPECIAL RECONNAISSANCE TEAM (SPECRECON TEAM) ONE","48569",4
"NAVSPECWARGRU TEN","SPECRECON TEAM TWO","49660",4
"COMMANDER, NAVAL SPECIAL WARFARE COMMAND (COMNAVSPECWARCOM)","NAVSPECWARGRU ELEVEN","39605",3
"NAVSPECWARGRU ELEVEN","SEAL TEAM SEVENTEEN","39943",4
"NAVSPECWARGRU ELEVEN","SEAL TEAM EIGHTEEN","39944",4
"CHIEF OF NAVAL OPERATIONS","COMMANDER, NAVAL SEA SYSTEMS COMMAND **","00024",2
"COMMANDER, NAVAL SEA SYSTEMS COMMAND **","USS GETTYSBURG (CG 64)","21624",3
"COMMANDER, NAVAL SEA SYSTEMS COMMAND **","USS CHOSIN (CG 65)","21625",3
"COMMANDER, NAVAL SEA SYSTEMS COMMAND **","USS VICKSBURG (CG 69)","21684",3
"COMMANDER, NAVAL SEA SYSTEMS COMMAND **","USS CAPE ST GEORGE (CG 71)","21828",3
"COMMANDER, NAVAL SEA SYSTEMS COMMAND **","USS ANZIO (CG 68)","21658",3
"COMMANDER, NAVAL SEA SYSTEMS COMMAND **","HUE CITY (CG 66)","21656",3
"COMMANDER, NAVAL SEA SYSTEMS COMMAND **","COMMANDER, NAVY REGIONAL MAINTENANCE **","58400",3
"COMMANDER, NAVY REGIONAL MAINTENANCE **","COMMANDING OFFICER, MID-ATLANTIC REGIONAL MAINTENANCE CENTER**","50054",4
"COMMANDING OFFICER, MID-ATLANTIC REGIONAL MAINTENANCE CENTER**","DYNAMIC (AFDL-6)","14806",5
"CHIEF OF NAVAL OPERATIONS","COMMANDER, U.S. FLEET CYBER COMMAND","00055",2
"COMMANDER, U.S. FLEET CYBER COMMAND","COMMANDER, U.S. TENTH FLEET","3822A",3
